timestamp,air_humidity
1660593600,59.1
1660597200,60.05
1660600800,55.35
1660604400,51.45
1660608000,51.7
1660611600,62.35
1660615200,79.4
1660618800,82.9
1660622400,78.95
1660626000,72.15
1660629600,63.5
1660633200,56.8
1660636800,55.4
1660640400,55.9
1660644000,54.15
1660647600,53.8
1660651200,52.2
1660654800,50.7
1660658400,52.05
1660662000,55.85
1660665600,54.2
1660669200,55.8
1660672800,63.85
1660676400,74.85
1660680000,81.35
1660683600,78.85
1660687200,78.8
1660690800,80.65
1660694400,82
1660698000,82.4
1660701600,83.75
1660705200,85.65
1660708800,86.75
1660712400,81
1660716000,70.85
1660719600,62.05
1660723200,60.1
1660726800,59.25
1660730400,57.25
1660734000,53
1660737600,48.65
1660741200,48.9
1660744800,55.3
1660748400,56.15
1660752000,54.9
1660755600,55.15
1660759200,62.85
1660762800,71.25
1660766400,75.5
1660770000,78.75
1660773600,83.75
1660777200,85.05
1660780800,84.55
1660784400,84.9
1660788000,85.75
1660791600,84.95
1660795200,85.15
1660798800,83.15
1660802400,80.8
1660806000,78
1660809600,79.55
1660813200,84.05
1660816800,90.35
1660820400,82.25
1660824000,76.5
1660827600,72.65
1660831200,64.3
1660834800,61.45
1660838400,69.6
1660842000,82
1660845600,89.65
1660849200,92.65
1660852800,93.7
1660856400,94.4
1660860000,94.55
1660863600,95
1660867200,95.45
1660870800,95.85
1660874400,96.35
1660878000,96.4
1660881600,96.55
1660885200,96.7
1660888800,95.65
1660892400,93.5
1660896000,93.45
1660899600,95.4
1660903200,91.45
1660906800,84.85
1660910400,79
1660914000,80.65
1660917600,76.5
1660921200,83.45
1660924800,90.1
1660928400,91.15
1660932000,92.55
1660935600,93.7
1660939200,94.5
1660942800,94.85
1660946400,95.05
1660950000,95.05
1660953600,94.75
1660957200,94.4
1660960800,94.05
1660964400,93.85
1660968000,93.55
1660971600,90.1
1660975200,84.55
1660978800,76.05
1660982400,67.4
1660986000,61.45
1660989600,57.4
1660993200,52.75
1660996800,49.55
1661000400,46.85
1661004000,47.1
1661007600,46.95
1661011200,47.05
1661014800,51.8
1661018400,75.25
1661022000,78.6
1661025600,77.85
1661029200,78.9
1661032800,79.8
1661036400,80.85
1661040000,82.55
1661043600,83.25
1661047200,84.3
1661050800,84.7
1661054400,85.7
1661058000,82.65
1661061600,75.9
1661065200,65.85
1661068800,60.05
1661072400,57.85
1661076000,54.4
1661079600,50.4
1661083200,47.6
1661086800,45.35
1661090400,44.4
1661094000,47.3
1661097600,48.3
1661101200,50.65
1661104800,68.55
1661108400,80.85
1661112000,80.75
1661115600,79.25
1661119200,80.35
1661122800,82.9
1661126400,84.5
1661130000,86.05
1661133600,86.85
1661137200,88.15
1661140800,87.6
1661144400,85.2
1661148000,83.25
1661151600,70.35
1661155200,62
1661158800,58.15
1661162400,54.35
1661166000,50.15
1661169600,44.5
1661173200,44.2
1661176800,44.8
1661180400,45.75
1661184000,47
1661187600,47.65
1661191200,65.35
1661194800,75.25
1661198400,73.75
1661202000,76.2
1661205600,78.55
1661209200,78.45
1661212800,79.1
1661216400,79.45
1661220000,80.6
1661223600,80.75
1661227200,84.05
1661230800,82.05
1661234400,73.75
1661238000,62.55
1661241600,60.55
1661245200,56.65
1661248800,51.8
1661252400,49.8
1661256000,50.65
1661259600,51.1
1661263200,52.65
1661266800,52
1661270400,50.8
1661274000,52.6
1661277600,68.75
1661281200,76.1
1661284800,81.7
1661288400,82.55
1661292000,82.6
1661295600,84.25
1661299200,83.65
1661302800,84.45
1661306400,85
1661310000,84.95
1661313600,85.5
1661317200,84.65
1661320800,80.5
1661324400,69.5
1661328000,62.95
1661331600,60.2
1661335200,57.45
1661338800,53.7
1661342400,49.25
1661346000,47.35
1661349600,47
1661353200,48.45
1661356800,49.7
1661360400,51.3
1661364000,67.15
1661367600,79.15
1661371200,79.1
1661374800,78.4
1661378400,80.1
1661382000,81.15
1661385600,82.15
1661389200,82.35
1661392800,82.9
1661396400,82.7
1661400000,82.5
1661403600,80.4
1661407200,74.55
1661410800,63.65
1661414400,61.4
1661418000,61.75
1661421600,58.3
1661425200,55.6
1661428800,54.05
1661432400,52.05
1661436000,49.35
1661439600,48.4
1661443200,49.35
1661446800,53.2
1661450400,73.9
1661454000,81
1661457600,82.2
1661461200,79.05
1661464800,77.6
1661468400,77.95
1661472000,78.7
1661475600,79.45
1661479200,80.2
1661482800,80.35
1661486400,80.75
1661490000,81.15
1661493600,75.35
1661497200,67.2
1661500800,60.85
1661504400,58.05
1661508000,54
1661511600,51.2
1661515200,50.45
1661518800,50.5
1661522400,50.05
1661526000,51.95
1661529600,57.35
1661533200,61.95
1661536800,75
1661540400,81.1
1661544000,80.95
1661547600,80.95
1661551200,79.55
1661554800,81.4
1661558400,82.05
1661562000,82.35
1661565600,84.85
1661569200,85.45
1661572800,85.35
1661576400,83.45
1661580000,76.9
1661583600,68.6
1661587200,61.35
1661590800,57.75
1661594400,54.85
1661598000,54.65
1661601600,63.15
1661605200,75.35
1661608800,80.75
1661612400,70.05
1661616000,65.05
1661619600,66.7
1661623200,77.45
1661626800,86.9
1661630400,90.05
1661634000,90.5
1661637600,91.15
1661641200,92.1
1661644800,93.35
1661648400,93.55
1661652000,92
1661655600,92.5
1661659200,92.95
1661662800,92.6
1661666400,85.2
1661670000,76.45
1661673600,73.15
1661677200,68.6
1661680800,65.15
1661684400,60.7
1661688000,66.75
1661691600,68.05
1661695200,71.25
1661698800,74.3
1661702400,68.5
1661706000,71
1661709600,76.55
1661713200,80.7
1661716800,83.4
1661720400,84.1
1661724000,86.1
1661727600,88.65
1661731200,86.6
1661734800,85.35
1661738400,84.45
1661742000,88.85
1661745600,91.65
1661749200,92.6
1661752800,86.15
1661756400,75
1661760000,65.1
1661763600,58.9
1661767200,57.3
1661770800,55.55
1661774400,52.5
1661778000,50.65
1661781600,50.35
1661785200,55
1661788800,59.8
1661792400,63.2
1661796000,73.95
1661799600,83.6
1661803200,84.75
1661806800,84.05
1661810400,83.8
1661814000,83.35
1661817600,84.05
1661821200,84.85
1661824800,85.55
1661828400,86.1
1661832000,86.75
1661835600,87.15
1661839200,80.35
1661842800,69.55
1661846400,66.4
1661850000,63.55
1661853600,59.8
1661857200,57.25
1661860800,54.95
1661864400,52.6
1661868000,53.95
1661871600,60.8
1661875200,65.55
1661878800,82.5
1661882400,88.15
1661886000,91.4
1661889600,92.95
1661893200,93.5
1661896800,93.4
1661900400,93.35
1661904000,94
1661907600,94.6
1661911200,95.25
1661914800,95.8
1661918400,96.2
1661922000,96.5
1661925600,96.1
1661929200,92.35
1661932800,84.5
1661936400,78.2
1661940000,76.25
1661943600,73.2
1661947200,77.8
1661950800,87.45
1661954400,89.35
1661958000,88.1
1661961600,89.15
1661965200,88.6
1661968800,92.05
1661972400,93.9
1661976000,94.95
1661979600,95.7
1661983200,96.1
